REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2015/08/01 00:30:00",8282.49,35.44,TRADE
NSW1,"2015/08/01 01:00:00",7994.62,34.93,TRADE
NSW1,"2015/08/01 01:30:00",7787.54,35.03,TRADE
NSW1,"2015/08/01 02:00:00",7480.16,33.9,TRADE
NSW1,"2015/08/01 02:30:00",7114.04,31.11,TRADE
NSW1,"2015/08/01 03:00:00",6821.66,29.08,TRADE
NSW1,"2015/08/01 03:30:00",6600.44,26.79,TRADE
NSW1,"2015/08/01 04:00:00",6452.65,22.33,TRADE
NSW1,"2015/08/01 04:30:00",6374.12,25.5,TRADE
NSW1,"2015/08/01 05:00:00",6363.59,25.4,TRADE
NSW1,"2015/08/01 05:30:00",6436.49,26.47,TRADE
NSW1,"2015/08/01 06:00:00",6623.82,25.45,TRADE
NSW1,"2015/08/01 06:30:00",6972.84,25.73,TRADE
NSW1,"2015/08/01 07:00:00",7359.41,27.69,TRADE
NSW1,"2015/08/01 07:30:00",7835.89,32.28,TRADE
NSW1,"2015/08/01 08:00:00",8299.81,35.52,TRADE
NSW1,"2015/08/01 08:30:00",8687.48,36.03,TRADE
NSW1,"2015/08/01 09:00:00",8861.03,35.93,TRADE
NSW1,"2015/08/01 09:30:00",8891.16,36.57,TRADE
NSW1,"2015/08/01 10:00:00",8632.71,35.38,TRADE
NSW1,"2015/08/01 10:30:00",8434.7,35.19,TRADE
NSW1,"2015/08/01 11:00:00",8201.96,35.01,TRADE
NSW1,"2015/08/01 11:30:00",7973.74,34.97,TRADE
NSW1,"2015/08/01 12:00:00",7814.97,34.96,TRADE
NSW1,"2015/08/01 12:30:00",7590.76,34.67,TRADE
NSW1,"2015/08/01 13:00:00",7507.37,34.89,TRADE
NSW1,"2015/08/01 13:30:00",7423.19,34.93,TRADE
NSW1,"2015/08/01 14:00:00",7330.37,34.79,TRADE
NSW1,"2015/08/01 14:30:00",7272.33,34.34,TRADE
NSW1,"2015/08/01 15:00:00",7276.92,31.75,TRADE
NSW1,"2015/08/01 15:30:00",7351.88,33.82,TRADE
NSW1,"2015/08/01 16:00:00",7509.67,34.99,TRADE
NSW1,"2015/08/01 16:30:00",7705.93,35.17,TRADE
NSW1,"2015/08/01 17:00:00",7951.24,35.44,TRADE
NSW1,"2015/08/01 17:30:00",8328.4,35.26,TRADE
NSW1,"2015/08/01 18:00:00",8944.31,36.27,TRADE
NSW1,"2015/08/01 18:30:00",9110.23,36.69,TRADE
NSW1,"2015/08/01 19:00:00",8986.45,35.52,TRADE
NSW1,"2015/08/01 19:30:00",8730.24,35.02,TRADE
NSW1,"2015/08/01 20:00:00",8577.31,35.02,TRADE
NSW1,"2015/08/01 20:30:00",8425.07,35.37,TRADE
NSW1,"2015/08/01 21:00:00",8340.09,35.02,TRADE
NSW1,"2015/08/01 21:30:00",8168.11,35.02,TRADE
NSW1,"2015/08/01 22:00:00",8062.4,35.34,TRADE
NSW1,"2015/08/01 22:30:00",8090.17,35.84,TRADE
NSW1,"2015/08/01 23:00:00",7900.26,35.17,TRADE
NSW1,"2015/08/01 23:30:00",7804.7,35.33,TRADE
NSW1,"2015/08/02 00:00:00",7603.37,35,TRADE
NSW1,"2015/08/02 00:30:00",7386.92,37.06,TRADE
NSW1,"2015/08/02 01:00:00",7180.52,35.59,TRADE
NSW1,"2015/08/02 01:30:00",7024.52,34.11,TRADE
NSW1,"2015/08/02 02:00:00",6813.1,32.49,TRADE
NSW1,"2015/08/02 02:30:00",6532.76,31.72,TRADE
NSW1,"2015/08/02 03:00:00",6351.62,29.46,TRADE
NSW1,"2015/08/02 03:30:00",6226.83,26.35,TRADE
NSW1,"2015/08/02 04:00:00",6110.11,24.9,TRADE
NSW1,"2015/08/02 04:30:00",5994.9,24.89,TRADE
NSW1,"2015/08/02 05:00:00",6061.15,25.43,TRADE
NSW1,"2015/08/02 05:30:00",6117.39,26,TRADE
NSW1,"2015/08/02 06:00:00",6206.32,25.34,TRADE
NSW1,"2015/08/02 06:30:00",6431.34,25.77,TRADE
NSW1,"2015/08/02 07:00:00",6664.41,25.46,TRADE
NSW1,"2015/08/02 07:30:00",6912.41,26.91,TRADE
NSW1,"2015/08/02 08:00:00",7386.27,29.68,TRADE
NSW1,"2015/08/02 08:30:00",7635.72,31.27,TRADE
NSW1,"2015/08/02 09:00:00",7805.12,32.65,TRADE
NSW1,"2015/08/02 09:30:00",7903.89,31.4,TRADE
NSW1,"2015/08/02 10:00:00",7860.01,30.73,TRADE
NSW1,"2015/08/02 10:30:00",7787.25,29.1,TRADE
NSW1,"2015/08/02 11:00:00",7525.3,25.47,TRADE
NSW1,"2015/08/02 11:30:00",7361.61,25.42,TRADE
NSW1,"2015/08/02 12:00:00",7310.78,25.46,TRADE
NSW1,"2015/08/02 12:30:00",7288.62,25.85,TRADE
NSW1,"2015/08/02 13:00:00",7218.04,25.46,TRADE
NSW1,"2015/08/02 13:30:00",7124.76,25.46,TRADE
NSW1,"2015/08/02 14:00:00",7067.03,25.45,TRADE
NSW1,"2015/08/02 14:30:00",7017.12,25.46,TRADE
NSW1,"2015/08/02 15:00:00",7067.52,25.46,TRADE
NSW1,"2015/08/02 15:30:00",7106.49,25.46,TRADE
NSW1,"2015/08/02 16:00:00",7219.04,25.97,TRADE
NSW1,"2015/08/02 16:30:00",7441.35,28.79,TRADE
NSW1,"2015/08/02 17:00:00",7623.78,30.06,TRADE
NSW1,"2015/08/02 17:30:00",8031.81,33.21,TRADE
NSW1,"2015/08/02 18:00:00",8698.97,37.01,TRADE
NSW1,"2015/08/02 18:30:00",8986.13,36.48,TRADE
NSW1,"2015/08/02 19:00:00",8890.29,35.5,TRADE
NSW1,"2015/08/02 19:30:00",8664.53,33.25,TRADE
NSW1,"2015/08/02 20:00:00",8497.36,31.87,TRADE
NSW1,"2015/08/02 20:30:00",8319.15,32.04,TRADE
NSW1,"2015/08/02 21:00:00",8171.92,31.52,TRADE
NSW1,"2015/08/02 21:30:00",7983.24,29.63,TRADE
NSW1,"2015/08/02 22:00:00",7786.42,28.56,TRADE
NSW1,"2015/08/02 22:30:00",7768.11,31.31,TRADE
NSW1,"2015/08/02 23:00:00",7532.29,25.85,TRADE
NSW1,"2015/08/02 23:30:00",7515.73,31.18,TRADE
NSW1,"2015/08/03 00:00:00",7333.04,29.3,TRADE
NSW1,"2015/08/03 00:30:00",7114.7,30.76,TRADE
NSW1,"2015/08/03 01:00:00",6980.01,30.16,TRADE
NSW1,"2015/08/03 01:30:00",6771.93,26.03,TRADE
NSW1,"2015/08/03 02:00:00",6648.04,23.14,TRADE
NSW1,"2015/08/03 02:30:00",6382.95,20.9,TRADE
